1,2,3,4,5,6,7,8,9,10,11,12
10115,10179,10119,10553,13581,12157,10777,10965,12435,12555,10315,13403
10117,12045,13189,10711,13627,12247,10829,12059,12557,12687,13057,13503
10119,10999,13187,13353,13583,14193,12161,12359,12437,12619,10317,13405
10178,10997,10249,14193,13629,12161,14197,10967,12559,12689,13059,13505
10179,10969,13053,10585,13585,12249,10779,12099,12439,12621,10318,13407
10559,10967,13088,10713,14052,14195,10965,12043,12587,12623,10319,13507
13355,10245,13086,13597,13587,12163,12163,12107,12459,12627,10365,13409
13357,10243,13089,14195,14089,12277,10781,12045,12589,12629,10367,13509
13359,10247,13125,10587,13589,14197,12099,12305,12487,12679,10369,13435
13405,10249,13127,10715,13591,12165,12169,12047,12623,12681,13051,13599
13407,10367,13129,13627,13593,12279,10783,12347,12489,12683,13053,13437
13409,10785,13156,14197,13595,14199,12101,12049,12524,12685,13055,13629
10435,10961,13158,10589,13597,12167,12249,12349,12526,,,13439
10551,10963,13159,10717,13599,14109,10785,12051,12527,,,13465
10623,10965,10405,13629,,12169,12103,12351,12555,,,13467
10785,,10407,14199,,14129,12277,12053,,,,13469
10553,,10409,10623,,12203,10787,12353,,,,
10787,,10435,10719,,14163,12105,12055,,,,
10555,,10437,14050,,12205,12279,12355,,,,
10557,,10439,10625,,14165,10789,12057,,,,
10963,,13051,10777,,12207,12107,12357,,,,
10969,,10247,14052,,14167,12305,,,,,
13347,,,10627,,12209,10823,,,,,
13349,,,10779,,14169,12109,,,,,
13351,,,14053,,14532,12307,,,,,
13353,,,10629,,14480,10825,,,,,
10537,,,10787,,14532,12157,,,,,
10824,,,14055,,,12309,,,,,
10907,,,10707,,,10827,,,,,
,,,10789,,,12159,,,,,
,,,14057,,,12347,,,,,
,,,10709,,,12199,,,,,
,,,10825,,,,,,,,
,,,14059,,,,,,,,
,,,12039,,,,,,,,
